Period,Total_SIPA_income,Total_wage-earners_SIPA_contributions,Total_taxable_income,Total_gross_wages,Total_SAC,Total_autonomous_workers_SIPA_contributions,Total_Monotributo_SIPA_contributions,Monotributo_integrated_tax
140,35551607.8061718,34606269.6682055,97834713.2629194,136415245.194291,22735874.1990486,535433.602350809,302160.357241216,153920.25482041
141,30546592.1935714,29585383.635153,82393023.5732158,138061636.902095,0,545927.917157339,303817.241819054,159233.427774255
142,36312890.6553833,35370894.9968504,99753958.7931639,139733292.891906,23288882.148651,521883.458000577,308258.28230415,159791.311754621
143,31202380.3603039,30230659.3334334,84693520.2720585,140247381.020428,0,559237.345637159,302919.027871676,156520.933373856
144,36843784.1031512,35859167.1252085,101598247.294299,141061314.325091,23510219.0541818,561602.319602723,309353.726316437,162372.760033654
145,31522706.6983628,30535435.3361116,85283086.6991393,142072341.392743,0,556051.226377416,314673.275180983,166495.515275476
146,37261238.7838611,36319810.4926963,102659323.114646,143157903.746963,23859650.6244938,509317.174712917,316408.457355521,165289.51299485
147,32317260.2524057,31288093.7150896,87871031.2017625,144788273.720322,0,610909.727717861,309571.046491938,155265.375866081
148,38223578.6764645,37204898.0915479,105736537.125315,145831765.366058,24305294.2276763,605217.898295483,306565.810362479,152709.823226614
149,32632144.9534771,31664424.6559588,88730887.8296434,146819165.833047,0,553387.640540722,306010.502389944,154745.935125209
150,38757914.812697,37811705.506124,107185279.806505,148598091.229827,24766348.5383046,522515.159621491,312289.276541761,159149.814871023
151,33328030.1409005,32370467.6925654,91078636.0524052,149473719.739792,0,530435.705119802,313858.937092045,161811.151604629
152,39224831.9369236,38296367.6094455,108924480.936478,149975413.474645,24995902.2457741,498751.515462206,314135.31075736,165110.716083615
