Period,"Gini sedlac, all income","Gini sedlac, labour income","Gini sedlac, labour and pension income","Gini sedlac, labour and family benefits income","Decile ratio, all income","Decile ratio, labour income","Decile ratio, labour and pension income","Decile ratio, labour and familiy benefits income","Top 10%, share of all income","Top 10%, share of labour income","Top 10%, share of labour and pension income","Top 10%, share of labour and familiy benefits income","Bottom 10%, share of all income","Bottom 10%, share of labour income","Bottom 10%, share of labour and pension income","Bottom 10%, share of labour and familiy benefits income","Gini sedlac, labour and IFE income","Decile ratio, labour and IFE income","Top 10%, share of labour and IFE income","Bottom 10%, share of labour and IFE income","Gini sedlac, measure IFE impact","Decile ratio, measure IFE impact","Top 10%, measure IFE impact","Bottom 10%, measure IFE impact"
81,0.45032228899879262,0.46212577044301179,0.40215364089317956,0.43564829398750798,22.306836470884644,11.720515353194077,8.495999239496344,8.705963447771977,0.23979128659578303,0.2825188280887749,0.2574139353667988,0.26107278433253894,0.0068601716798895405,7.962317111032267e-05,6.138255528537156e-05,7.338718440703429e-05,0.54845486328615456,22.391950358434112,0.2758498023921646,0.010392965421050825,0.58382049065659625,22.391950358434112,0.27584986300130887,7.774363567588707e-05
82,0.45471769574225446,0.46706874914600005,0.40442086205826422,0.4448442182029746,23.12618086634787,11.74652043295412,8.562952304984497,9.187167875400899,0.24167371217061334,0.2728294368808943,0.25728619976968786,0.2545050986001006,0.006749206093429549,8.964129622887e-05,6.002970382517986e-05,0.00018852862975290584,0.55180106656346262,22.277492445337653,0.2664176070958989,0.010323256528832384,0.58694489392412863,22.277492445337653,0.2663919752557092,8.752619306734011e-05
83,0.45498367030964726,0.46754921019212847,0.40471893606337878,0.44777728919891741,22.70693283956246,11.367805320412515,8.46952789123982,9.137278345189658,0.24356875678186213,0.2772386571556732,0.2589996770395075,0.25938454152200313,0.0068618625814101915,6.725430581907077e-05,5.171097657191636e-05,0.00010160687519392601,0.55104897169021638,22.072428950348296,0.2704597413156909,0.01050026174646047,0.58779477741104047,22.072428950348296,0.2704598052854546,6.560984908472053e-05
84,0.45061578131273211,0.45890739880370407,0.3950158543731927,0.43852075464017254,23.409818688112928,11.184400607988241,8.306260346354053,9.245469697484163,0.23724045166466917,0.27198346197010514,0.2526731748442398,0.2531398211713784,0.0071339590425210635,0.0003414361083422681,0.0002321955654290081,0.00038390687724637693,0.55120251203953929,25.97920544140979,0.2655644306743789,0.011166387493298725,0.5871251963120262,25.97920544140979,0.26556452864859825,0.00033337806099950455
85,0.44822840346812842,0.45994797413086613,0.39809945935527569,0.43245430287188152,23.20496335387141,11.608692754933822,8.56699492017566,8.594100598066609,0.23581383341530893,0.27913365810660756,0.2540031627890855,0.25582163806783853,0.007177631129011208,0.0003421775817178413,0.00023535763406400405,0.0003984917303756794,0.54993686355951499,24.11382631806023,0.27243829394541075,0.011217759183304301,0.58629113466167437,24.11382631806023,0.27243839404740045,0.00033397015420701456
86,0.44593464767349866,0.45743830864130586,0.3931693340687506,0.43506352320917047,23.4762639794948,11.415901314760744,8.059852787372073,9.15129059761685,0.23773760493476415,0.2694481890502544,0.25327199352059954,0.2505671609044785,0.006982713898669003,0.00025688998645107073,0.00017590332332553712,0.00042405352432381974,0.54579577761447673,23.279928932743147,0.263043797538074,0.01087489192844813,0.58211977038541707,23.279928932743147,0.26303971393731124,0.00025078019187149404
87,0.44740911125895255,0.45956288481513263,0.39217783403978229,0.43736582425148124,23.317763451937036,11.198131033958855,7.8613106326827555,9.191439356290044,0.2484480780563645,0.28862226406541897,0.26406889411451956,0.26979163608349593,0.006952422695497694,8.063478101560717e-05,6.104311845204214e-05,0.00013464457727259602,0.5498122836660827,22.806874797494874,0.28164704289771403,0.010771889245813324,0.58701711472735685,22.806874797494874,0.2816430158910402,7.868493092342214e-05
88,0.44511791764836961,0.45871347548370167,0.38672347902903181,0.4337129410590797,23.086314641557326,10.950767652134427,7.673683704079487,8.79219300054554,0.24649723878610544,0.27096006938214995,0.26278358610614583,0.2518270450204318,0.006923846443367166,-1.4901633774696465e-06,6.807987557636298e-06,1.6982286404549668e-05,0.55107086591928423,22.489642218552476,0.2643181811761421,0.010988225665988349,0.58877841473399095,22.489642218552476,0.2643139679562192,-1.4536126895012914e-06
89,0.44139928743491719,0.46112365710480774,0.38811274685213221,0.43307473206114971,22.999980735060472,10.891231983930474,8.01988149488179,8.646359997452906,0.2429881198301376,0.2834212231807634,0.2610823387264037,0.26071897166632907,0.006827783502599583,0.00014584098708584684,0.0001047208370631795,0.00014613827614749645,0.55030902931108916,22.59819510125434,0.2765623545367113,0.010731034383878676,0.58752874036930458,22.59819510125434,0.2765583025861505,0.0001423095115577359
90,0.44999768987302402,0.46207453397856635,0.3927555443573707,0.43863904918876351,24.17491215751558,10.884859055297754,8.04074703531481,8.915328791098045,0.24442703901929172,0.28115141091233875,0.2597056912056322,0.26256136266538266,0.006809696248701393,0.00011727425681298277,8.526743845997522e-05,0.00012796834315212087,0.55422909782632801,23.745512133119757,0.2745656640664394,0.010683689162867813,0.59085654345407235,23.745512133119757,0.27456576865499793,0.00011452724480667767
